287;1;Изгнание / The Exiles;1961;;39;152
288;1;Виридиана / Viridiana;1961;;20;181
289;1;Клео от 5 до 7 / Cleo a 5 de 7;1961;;44;24
290;1;Связной / The Connection;1961;;39;340
291;2;Хроника одного лета / Chronique d’un Ete(Jean Rouch/Edgar Morin;1961;;44;129
292;5;Эль Сид / El Cid;1961;;;351
293;7;Вестсайдская история / West Side Story;1961;;;255
294;13;Изгнание / The Exiles;1961;;;152
295;1;Вкус сайры / Sanma no aji;1962;;56;357
296;1;Затмение / L’eclisse;1962;;21;204
297;1;Взлётная полоса / La Jetee;1962;;44;163
298;1;Восемь с половиной / 8 1/2;1963;;21;301
299;1;Леопард / Il gattopardo;1963;;21;182
300;1;Погубленные жизни / Vidas Secas;1963;;6;217
301;2;Кризис / Crisis;1963;;39;246
302;2;Прекрасный май / Le Joli Mai;1963;;44;163
303;2;7 лет / 7 Up;1963;;9;188
304;2;Мертвые птицы / Dead Birds;1963;;39;251
305;8;Птицы / The Birds;1963;;;19
306;1;Красная пустыня / Il deserto rosso;1964;;21;204
307;1;Тени забытых предков;1964;;38;265
308;1;Доктор Стрейнджлав или Как я научился не волноваться и полюбил атомную бомбу / Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;;9;276
309;1;Вечер трудного дня / A Hard Day’s Night;1964;;9;245
310;1;Евангелие от Матфея / Il vangelo secondo Matteo;1964;;21;226
311;2;Вопрос по порядку ведения заседания / Point of Order;1964;;39;347
312;1;Чернокожая из… / La noire de…;1965;;37;298
313;1;Безумный Пьеро / Pierrot le Fou;1965;;45;131
314;1;Без надежды / Szegenylegenyek;1965;;10;205
315;1;Магазин на площади / Obchod na korze;1965;;50;355
316;1;Непримирившиеся или Где правит насилие помогает только насилие / Nicht versohnt oder Es hilft nur Gewalt wo Gewalt herrscht;1965;;12;132
317;1;Счастье / Le Bonheur;1965;;44;24
318;1;Любовные похождения блондинки / Lasky jedne plavovlasky;1965;;50;206
319;2;Военная игра / The War Game;1965;;9;234
320;2;Обыкновенный фашизм;1965;;38;209
321;2;Париж глазами шести / Paris vu par…;1965;;44;159
322;1;Битва за Алжир / La battaglia di Algeri;1966;;21;83
323;1;Девушки из Рошфора / Les demoiselles de Rochefort;1966;;44;122
324;1;Отец – Дневник одной веры / Apa;1966;;10;143
325;1;Фотоувеличение / Blow-up;1966;;9;204
326;1;Маргаритки / Sedmikrasky;1966;;50;43
327;1;О торжестве и гостях / O slavnosti a hostech;1966;;50;356
328;1;Наудачу Бальтазар / Au Hasard Balthazar;1966;;48;249
329;1;Андрей Рублев;1966;;38;22
330;1;Персона / Persona;1966;;53;138
331;1;Птицы большие и малые / Uccellacci e uccellini;1966;;21;226
332;12;Вторые / Seconds;1966;;;99
333;1;Дневник Дэвида Гольцмана / David Holzman’s Diary;1967;;39;85
334;1;Две или три вещи которые я знаю о ней / 2 ou 3 Choses que je sais d’elle;1967;;44;131
335;1;Время развлечений / Playtime;1967;;44;124
336;1;Уик-энд / Weeken;1967;;44;131
337;1;Дневная красавица / Belle de Jour;1967;;44;181
338;1;Война и мир;1967;;38;264
339;1;Земля в трансе / Terra em Transe;1967;;6;64
340;2;Взвод Андерсона / La section Anderson;1967;;44;237
341;2;Портрет Джейсона / Portrait of Jason;1967;;39;340
342;2;Не смотри назад / Don’t Look Back;1967;;39;71
343;2;Безумцы Титиката / Titicut Follies;1967;;39;314
344;2;Варрендейл / Warrendale;1967;;24;16
345;11;В упор / Point Blank;1967;;;92
346;6;Бонни и Клайд / Bonnie and Clyde;1967;;;26
347;1;Невинность без защиты / Nevinost bez zastite;1968;;54;111
348;1;Если / If;1968;;9;177
